Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
057361,Barcelona,,Aragón 299 / Roger de Llúria,,185000,204,185204,138954,11272,21,8,168,"Ramon, Silvia",12/01/2020,03/31/2021,Inactivo,"- Aragó 299 está situado en la intersección de calles altamente transitadas por el tráfico como Roger de Llúria y la propia Aragó que dan paso tanto como al área comercial de Paseo de Gracia, La Pedrera, como hacia el área de Diagonal. Sin duda, un lugar que no pasa desapercibido, tanto como para peatones como para conductores .Destacada área de negocios,  frecuentada por locales y famosos restaurantes, pero también punto señalado en el turismo, ya que su cercanía al shopping más exquisito y exclusivo de Barcelona como es el Paseo de Gracia, hacen de éste un lugar único y altamente frecuentado. El impacto en la audiencia es de alrededor de 100.000 vehículos al día con una audiencia de 5.236.107 impactos por mes",97200,41.394672,2.167767
054071,Barcelona,,Balmes 57,,110000,8941.17,118941.17,80191.17,7014,13.6,20,272,"Ramon, Silvia",10/01/2020,09/01/2021,Inactivo,"- Esta lona gigante se encuentra en una de las avenidas más importantes de Barcelona y es perfectamente visible desde las transitadas calles de varios carriles que pasan por el emplazamiento.  Cerca de la Rambla Catalunya y del famoso Passeig de Gracia, una de las calles comerciales más famosas de la ciudad, atrae a un público de alto poder adquisitivo, con tiendas de lujo, como Calvin Klein o Adolfo Dominguez.  Próximo a la Universidad de Barcelona, este emplazamiento se convierte en un punto muy frecuentado también por el público más joven y también más consumista con tiendas y restaurantes propios de la edad. A su alrededor encontramos hoteles de lujo, Museos como el Modernista y teatros como el Coliseum, lo que hace de esta zona un entorno muy visitado por otro tipo de turismo de mayor nivel y con expectativas de compra y restauración más caros.  Zona especialmente frecuentada en las horas punta del día por el flujo de tráfico del paso a la arteria de la calle Aragón que atraviesa la ciudad y es la salida de la misma hacia la N-II.",134000,41.389633,2.162076
019381,Barcelona,,Dummy site 3,,1,0,1,1,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
059311,Barcelona,,Rambla Catalunya 38,,200000,8800,208800,158800,7014,11.6,26,301.6,"Carranza, Laura",11/30/2021,06/17/2022,Inactivo,"- Magnífica y espectacular zona, este emplazamiento está situado en una de las calles más importantes de Barcelona que garantiza un alto tráfico durante todo el día, especialmente durante las horas punta. Gran afluencia de peatones y coches, ya que la calle es salida directa de la ciudad y paso hacia el Aeropuerto. Esta llamativa lona por su tamaño a gran escala y es perfectamente visible tanto para el tráfico como los peatones. La cercana universidad, la cercanía a la Casa Batló  y las famosas tiendas de moda como Calzedonia, Zara, Intimissimi o Levi's atraen a un grupo objetivo joven y afín a la marca. En las inmediaciones se encuentra el famoso Paseo de Gracia, donde se encuentran algunas de las tiendas más lujosas de la ciudad, que también atraerá al atractivo público de clase alta, con tiendas como Calvin Klein, Chanel y Versacce. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad.
- ",140000,41.390250,2.165500
058581,Barcelona,,Rosellón 247 / Rambla Catalunya,,165000,8775,173775,132525,7014,13.75,20,275,"Ramon, Silvia",07/01/2021,11/30/2021,Inactivo,"- Espectacular emplazamiento situado en una de las calles, más importantes de Barcelona que garantiza un alto tráfico durante todo el día, especialmente durante las horas punta. Gran afluencia de peatones también de peatones debido a los comercios que se encuentran alrededor. Su tamaño a gran escala, es perfectamente visible tanto para el tráfico como los peatones. La cercana universidad, la cercanía a la Casa Batló y las famosas tiendas de moda como Kiehl’s, Sephora, Mango o Levi's atraen a un grupo objetivo joven y afín a la marca. En las inmediaciones se encuentra el famoso Paseo de Gracia, donde se encuentran algunas de las tiendas más lujosas de la ciudad, que también atraerá al atractivo público de clase alta, con tiendas como Calvin Klein, Chanel y Versace. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad.",115300,41.395120,2.159120
058431,Madrid,Alcalá 27,Alcalá 27,,150000,7770,157770,120270,4131,17.95,11.93,214.1435,"Carranza, Laura",07/12/2021,09/12/2021,Inactivo,"- Emplazamiento situado en plena calle Alcalá, a escasos metros del Hotel Four Seasons, atrae a muchos curiosos de todas las edades y bolsillos. En él encontramos las tiendas más lujosas con un público de gran poder adquisitivo. Esta calle es de enorme atracción turística al encontrase en esta ella museos como la Real Academia de San Fernando, El Banco de España, así como el Teatro Cofidis, justo en frente. Rodeado de edificios históricos como el Círculo de Bellas Artes, o el Gran Casino de Madrid. Sin olvidarnos del público joven, ya que se encuentra a escasos metros de la Puerta del Sol, rodeado por bares bastante frecuentados, lo que la convierte en calle muy bulliciosa a cualquier hora del día. Muy visible tanto para el tráfico rodado como el peatonal ya que es obligado paso para los vehículos que vienen de fuera de la ciudad para trabajar en el centro y visible desde la famosa Fuente de Cibeles.
- ",90000,40.418300,-3.698600
056701,Madrid,Calle Alcalá 125,Calle Alcalá 125,,160000,10329.41,170329.41,130329.41,5896,17,17,289,"Carranza, Laura",09/01/2020,02/28/2021,Inactivo,"- Esta lona se encuentra entre las calles más largas de Madrid. Muy frecuentada sobre todo en las horas punta, ya que es un paso hacia la M-30. Los semáforos situados delante de la obra garantizan una larga duración de la visita. Zona llena de tiendas y bares, sobre todo para los más jóvenes, lo convierten en una zona muy popular durante todo el día.  Es una zona muy concurrida durante los conciertos ya que queda muy cerca del famoso WiZink Center. Tanto jóvenes como adultos llenan los bares y restaurantes hasta altas horas de la madrugada. No lejos quedan las famosas galerías de El Corte Inglés, convirtiendo la zona en muy bulliciosa durante todo el día, por las tiendas que alberga para todos los gustos y edades. Cercano al famoso parque de El Retiro es, además, un barrio muy visitado por grupos de todas las edades.
- ",35000,0.000000,0.000000
059471,Madrid,Calle del Pez 6,Calle del Pez 6,,170000,21500,191500,149000,6150,50,12,600,"Carranza, Laura",12/03/2021,04/04/2022,Inactivo,"- La calle del Pez es una vía del centro de Madrid, en el característico barrio de Malasaña. Desciende desde la Corredera Baja de San Pablo hasta la calle San Bernardo. Entre lo castizo y lo underground. El nombre de Pez, le viene de la figura del ismo esculpida en la fachada de uno de sus edificios.
- Calle de gran solera en el pasado ya que en ella se alzaban muchos palacios. Hoy calle con muchos bares, como el reconvertido Palentino, una tasca atemporal ajena a las modas que muchos consideraban como uno de los lugares más representativos de la ciudad y en el que se rodaron escenas de varias películas españolas y la movida. Eso provoca que muchos curiosos se acerquen hasta él para tomar algo, haciendo de esta calle un espacio muy bullicioso. 
- Emplazamiento por tanto con alta visualización durante todo el día con un devenir de gente y tráfico.",8042,40.423052,-3.704147
058451,Madrid,Calle Toledo 10 / Cuchilleros,Cuchilleros - Plaza Mayor,,85000,5235.29,90235.29,68985.29,1785,8,9,72,"Carranza, Laura",11/01/2021,04/30/2022,Inactivo,"- Magnífico emplazamiento situado a escasos metros del Mercado de San Miguel y la Plaza Mayor. Gran afluencia de turistas y peatones debido a los restaurantes, tablaos flamencos y comercios típicos que se encuentran a su alrededor. El cercano barrio de La Latina, la Plaza Tirso de Molina o La Plaza Mayor hacen que la afluencia de personas sea constante durante las 24h del día, destacando los fines de semana donde tanto los jóvenes como adultos disfrutan de las terrazas al aire libre en sus inmediaciones. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad. Tu campaña será visualizada las 24h del día
- ",19000,40.414570,-3.707955
057561,Madrid,Fuencarral 134,Fuencarral 134,,160000,13920,173920,133920,4360,24,19,456,"Carranza, Laura",12/09/2020,02/28/2021,Inactivo,"- Emplazamiento situado en una de las calles comerciales más transitadas de la capital, Fuencarral. Tiendas como Zara, Oysho o Natura hacen que sea una zona muy concurrida por público de todas las edades ya que es un barrio que ha ido modernizándose a lo largo de los años con multitud de bares y restaurantes: el conocido Sumo Sushi o la archiconocida Plaza de Olavide. Sin olvidarnos de su cercanía a la plaza de Quevedo, al barrio de Chamberí y al popularmente moderno barrio de Malasaña. Lugar de paso para los conductores que se desplazan hacia el centro de la ciudad, a través de Alberto Aguilera, como peatones que van a su lugar de trabajo, en la confluencia entre la Plaza de Bilbao, San Bernardo o Alonso Martínez. ¡Tu lona será visible las 24h del día!
- ",59800,0.000000,0.000000
