"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
" Aragón 264 / Rambla Catalunya - v1",""," Aragón 264 / Rambla Catalunya","Barcelona","08007","","Andamio","Allianz","Angel Carrasco","915968841","angel.carrasco@allianz.es","208,719.88 €","180,000.00 €","21,705.88 €","382,655.99 €","55,709.99 €","A","17.06.2019","04.07.2019","Contrato firmado","100%","100%","100%","01.07.2019","31.08.2019","Ramon, Silvia","17.06.2019 Tokaya, Steven (Others): Renegotiated 4 out of 6.  When sold only @ 20K / month for July & August.","41.391414","2.163919"
" CHUECA 1+ Barbieri+Augusto Figueroa","","Augusto Figueroa+Barbieri","Madrid","28000","Chueca 1","Andamio","CP Augusto Figueroa 33","","699348116","","221,150.00 €","200,000.00 €","15,000.00 €","151,100.00 €","80,490.00 €","A","18.11.2021","31.10.2022","Contrato firmado","100%","50%","50%","01.10.2022","31.01.2023","Carranza, Laura","","0.000000","0.000000"
" CHUECA 1+ Barbieri+Augusto Figueroa","","Chueca 1+ Barbieri","Madrid","28000","Chueca 1","Andamio","CP Augusto Figueroa 33","","699348116","","300,700.00 €","275,000.00 €","20,400.00 €","357,600.00 €","120,570.00 €","A","18.11.2021","31.10.2022","Contrato firmado","100%","50%","50%","01.10.2022","19.06.2023","Carranza, Laura","","0.000000","0.000000"
" CHUECA 1+ Barbieri+Augusto Figueroa",""," Augusto Figueroa+Barbieri","Madrid","28000","Chueca 1","Andamio","CP Augusto Figueroa 33","","699348116","","363,160.00 €","325,000.00 €","30,000.00 €","594,640.00 €","202,608.00 €","A","18.11.2021","31.10.2022","Contrato firmado","100%","50%","50%","01.10.2022","31.01.2023","Carranza, Laura","","0.000000","0.000000"
" Plaza Independencia 6 mapfre","","mapfre","Madrid","28001","","Andamio","","","","","293,000.00 €","250,000.00 €","28,000.00 €","784,625.00 €","208,575.00 €","A","30.09.2015","20.04.2016","Perdido ante la competencia","50%","50%","50%","01.06.2016","31.05.2017","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"1-2014","","1-2014","Barcelona","08001","Paseo de Gracia 1","Andamio","PONTEGADEA","Carlos Muñoz","981185344","carlosml@pontegadea.com","197,500.00 €","185,000.00 €","12,500.00 €","491,562.50 €","461,637.50 €","A","13.03.2006","07.05.2014","Negociaciones interrumpidas","50%","50%","100%","01.06.2014","30.11.2014","Ramon, Silvia","13.03.2006 Leuters, Heinz (): Jetzt gehts: bei 4x Media und 3x Prod. machen wr break even - mmh, Muss mal Fotos sehen.","0.000000","0.000000"
"1-2014","","1-2014 (2)","Barcelona","08001","","Andamio","PONTEGADEA","Carlos Muñoz","981185344","carlosml@pontegadea.com","122,500.00 €","115,000.00 €","7,500.00 €","323,375.00 €","302,230.00 €","A","13.03.2006","07.05.2014","Negociaciones interrumpidas","50%","50%","100%","01.04.2014","30.09.2014","Ramon, Silvia","13.03.2006 Leuters, Heinz (): Jetzt gehts: bei 4x Media und 3x Prod. machen wr break even - mmh, Muss mal Fotos sehen.","0.000000","0.000000"
"ABC Serrano","","ABC Serrano - Serrano","Madrid","28006","","Andamio","","","","","98,648.82 €","85,000.00 €","9,058.82 €","21,788.82 €","5,418.82 €","C","03.09.2015","16.10.2015","Negociaciones interrumpidas","100%","100%","100%","15.10.2015","15.11.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"ABC Serrano","","ABC Serrano - Paseo de la Castellana","Madrid","28006","","Andamio","","","","","79,842.35 €","65,000.00 €","9,882.35 €","20,062.35 €","2,852.35 €","C","03.09.2015","16.10.2015","Negociaciones interrumpidas","100%","75%","100%","01.10.2015","31.12.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"ABC Serrano","","ABC Serrano - dos fachadas","Madrid","28006","","Andamio","","","","","188,373.53 €","160,000.00 €","18,823.53 €","58,185.29 €","16,485.29 €","C","03.09.2015","16.10.2015","Negociaciones interrumpidas","100%","75%","100%","01.10.2015","31.12.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
